Programa,id_log_view,user_log_view,Anio,Fecha,Status_pct,Horas_uso_raw,Horas_uso_ajustada,Nivel,Tipo_nivel,Area_Conocimiento,Componente_academico,ID_SIS,Es_interno
IQS,93025db8a6bd4bc4b9700dc4,7f0bb751143747498ca0de1b,2023,2023-07-24,0.0,0.21,0.21,6° Grado,Grado,Matemáticas,Componente 8,101436,False
IQS,92a9ad98e7b6453caeec0274,f0c5251607e94d61a54344e0,2026,2026-05-04,,0.08,0.08,6° Grado,Grado,Ciencias de la Naturaleza,Componente 51,102905,False
IQS,55b081269abd40dd8627d6af,87a0a32693194bde9eb4118a,2023,2023-10-17,100.0,2.7,2.7,3° Grado,Grado,Matemáticas,Componente 1,101812,False
IQS,88009b847a7545629cd32eb2,fed71366c4e643349d154d29,2024,2024-12-09,25.0,0.0,0.0,4° Grado,Grado,Ciencias de la Naturaleza,Componente 37,105152,False
IQS,6ca8749dfee8401488fdc34a,1d57bdad0daa451887d5a6b0,2023,2023-04-25,,1.38,1.38,6° Grado,Grado,Matemáticas,Componente 17,100808,False
IQS,7b9e62d1d3da46ad935c79c4,63c3b044dc17406f9ece5257,2024,2024-08-07,50.0,0.07,0.07,6° Grado,Grado,Matemáticas,Componente 47,104259,False
IQS,3ee79b3127a74bafa2bdcdea,99cbf085fbe440748eedfdd0,2024,2024-08-13,50.0,2.79,2.79,6° Grado,Grado,Ciencias Sociales,Componente 16,104102,False
IQS,d4a7909d2c1b4e659015685c,2df3d1f26eaf45c08087d80f,2023,2023-02-24,0.0,0.05,0.05,6° Grado,Grado,Ciencias de la Naturaleza,Componente 34,103168,False
IQS,0e1e172f848c4946b4d615b2,94ea4abfe4444a469873471c,2023,2023-03-07,0.0,1.6,1.6,6° Grado,Grado,Ciencias de la Naturaleza,Componente 2,101562,False
IQS,1986fe3b50034dc9a9e2a86e,99454e87891b4d709850a4fe,2024,2024-07-28,100.0,0.27,0.27,6° Grado,Grado,Ciencias Sociales,Componente 30,103485,False
IQS,e8ec1d782cc1450e89ceb495,563383f2599843af8dbb37e5,2024,2024-09-26,0.0,0.04,0.04,4° Grado,Grado,Ciencias de la Naturaleza,Componente 28,103073,False
IQS,c6f2bc12db2a4b6096865e5f,117d3d8f62ca4f1f9d863592,2023,2023-03-15,100.0,0.0,0.0,6° Grado,Grado,Ciencias Sociales,Componente 30,101536,False
IQS,8a15bff5d01e4b9298c1d22b,a1ef853e3d6a45b4a1a54d7a,2026,2026-01-28,100.0,0.98,0.98,6° Grado,Grado,Lengua Española,Componente 30,103534,False
IQS,98bcad5e145d416796376638,edbfff2f23414b01a8609b91,2025,2025-01-07,,1.08,1.08,6° Grado,Grado,Ciencias Sociales,Componente 25,103754,False
IQS,d2746e4e11284bdd8c74844f,1da14ff6abde4de4bf31122b,2023,2023-06-07,0.0,0.28,0.28,4° Grado,Grado,Lengua Española,Componente 19,102483,False
IQS,d8c9414543e6400588d8b135,97d494410166468cbf225f11,2026,2026-04-21,0.0,1.23,1.23,6° Grado,Grado,Lengua Española,Componente 30,103732,False
IQS,cd0a8dd1b1154de6811554d8,a06e1a5f237a4bedad6b5ba5,2025,2025-08-03,0.0,2.04,2.04,5° Grado,Grado,Matemáticas,Componente 20,101368,False
IQS,21849490c8fe4afda24e9eae,a06e1a5f237a4bedad6b5ba5,2023,2023-08-30,50.0,0.46,0.46,2° Grado,Grado,Ciencias Sociales,Componente 53,101368,False
IQS,9e3c175e7be94937a862d038,a6a819058e9b44609a7ce4a6,2024,2024-07-14,0.0,0.16,0.16,4° Grado,Grado,Matemáticas,Componente 25,101614,False
IQS,02ca105275df4427b1077630,b0553cb957b841c0a75b60a7,2023,2023-12-27,,0.56,0.56,1° Grado,Grado,Ciencias Sociales,Componente 22,103936,False
IQS,ad29cacdf637411485b46084,cf747da360bf408e906f841e,2022,2022-04-07,0.0,1.91,1.91,3° Grado,Grado,Ciencias de la Naturaleza,Componente 24,103725,False
IQS,6415c255b1f0462591eb9584,f0c5251607e94d61a54344e0,2024,2024-06-08,,0.26,0.26,6° Grado,Grado,Matemáticas,Componente 19,102905,False
IQS,e9baeef0bdb14e059c8c3b3e,bbb88782c7d244988319f036,2026,2026-06-19,100.0,0.0,0.0,1° Grado,Grado,Ciencias Sociales,Componente 8,102784,False
IQS,ef0355f9f09b4d7eb06a1b8e,00b54deac72546cdafa17218,2023,2023-03-16,,0.02,0.02,2° Grado,Grado,Ciencias de la Naturaleza,Componente 34,102531,False
IQS,940e01fe1b3b4ffbaab352ce,edbfff2f23414b01a8609b91,2026,2026-04-12,100.0,0.26,0.26,2° Grado,Grado,Lengua Española,Componente 46,103754,False
IQS,79878f2f30a24df897665cfc,edbfff2f23414b01a8609b91,2023,2023-09-27,,,,2° Grado,Grado,Ciencias Sociales,Componente 10,103754,False
IQS,958ed6fb77f942c6b10504e6,054b44877ebb4dfd89da9029,2026,2026-06-13,,2.05,2.05,1° Grado,Grado,Lengua Española,Componente 47,101515,False
IQS,b2fdc0a14b9c4c8c82d895c1,1c5eefcdf33e473cb7e0d013,2023,2023-02-25,100.0,0.42,0.42,4° Grado,Grado,Ciencias de la Naturaleza,Componente 22,100853,False
IQS,46d3f8a08f4d4bbd968a35d5,bbb88782c7d244988319f036,2024,2024-03-20,100.0,0.14,0.14,4° Grado,Grado,Matemáticas,Componente 16,102784,False
IQS,aa54a29ba2f043f197023e22,a3cf4fe919384fc0ac8f4fe1,2023,2023-12-20,100.0,1.16,1.16,6° Grado,Grado,Ciencias Sociales,Componente 21,101637,False
IQS,e32fca63fd6f45fe81e6f1b7,442c9196c80b498fa52c808b,2025,2025-01-28,75.0,0.66,0.66,6° Grado,Grado,Ciencias de la Naturaleza,Componente 4,104726,False
IQS,f663934238e24cf391483e23,e96dbacb568f480bb863f60a,2023,2023-04-09,,0.66,0.66,6° Grado,Grado,Lengua Española,Componente 15,102183,False
IQS,73d92a2484dc4507b80d9ede,57364ffb2264410ab1c5c71f,2023,2023-06-02,,0.51,0.51,6° Grado,Grado,Lengua Española,Componente 17,104724,False
IQS,ccb7aa3cf135462c8a4f6444,ecfce1cabd8948bca5fdc08f,2023,2023-10-26,50.0,0.16,0.16,1° Grado,Grado,Matemáticas,Componente 51,104475,False
IQS,e8735df344204ee6b17592ec,f1eecb6e79454598a57fa6ae,2023,2023-03-09,75.0,0.0,0.0,6° Grado,Grado,Lengua Española,Componente 36,101672,False
IQS,bf59276c5f944b8cb19666b1,c19290cb39c74928ae063e97,2025,2025-04-19,,2.38,2.38,4° Grado,Grado,Matemáticas,Componente 48,103814,False
IQS,bfd5aed2e45543aab6669ee1,00b54deac72546cdafa17218,2026,2026-01-04,100.0,0.22,0.22,5° Grado,Grado,Lengua Española,Componente 59,102531,False
IQS,9871d4e95d4a4d95a98f5051,20ff08b82a674c5daaa66674,2024,2024-01-30,50.0,1.62,1.62,3° Grado,Grado,Matemáticas,Componente 26,104568,False
IQS,fe4b14258fab464b8052459d,3bd3dc7ec2404c6c989a812b,2025,2025-10-28,100.0,0.65,0.65,6° Grado,Grado,Lengua Española,Componente 58,101962,False
IQS,26bdcf06dd6049cfad82eb79,3363de028c484016b6059407,2023,2023-09-17,100.0,0.04,0.04,6° Grado,Grado,Matemáticas,Componente 48,102427,False
IQS,4d3ba333b67c484db64874c9,508643e7d1a842f18e8cf775,2023,2023-07-13,,0.55,0.55,6° Grado,Grado,Ciencias de la Naturaleza,Componente 46,105139,False
IQS,7c843a7ce1d04cb2878d1163,765b6154a8d44bdd909c09d3,2024,2024-10-17,25.0,0.03,0.03,5° Grado,Grado,Lengua Española,Componente 5,102155,False
IQS,f82772f7bfd440019d0c505d,0339c0d4ecd34ac4b75486b3,2023,2023-02-23,50.0,0.73,0.73,6° Grado,Grado,Ciencias de la Naturaleza,Componente 20,102908,False
IQS,200072f93ea34724a29a7d9b,8499fa2a39964aa280aa0807,2023,2023-03-30,25.0,0.28,0.28,3° Grado,Grado,Ciencias de la Naturaleza,Componente 12,101383,False
IQS,fcbf1de43908491db381d544,5f16a526cb7a409592663f3f,2024,2024-04-23,50.0,0.07,0.07,6° Grado,Grado,Matemáticas,Componente 5,103843,False
IQS,bd9bb9b7b9364158843025bc,0441b916b8e74bbebf0e3b5e,2024,2024-03-24,0.0,0.05,0.05,6° Grado,Grado,Ciencias Sociales,Componente 25,102815,False
IQS,6108b0736d8540c4b3c262c2,9ea8a16d0f154dfcb23a2d1d,2023,2023-03-07,50.0,0.56,0.56,4° Grado,Grado,Lengua Española,Componente 3,104557,False
IQS,aa60744938ca4e55b0bf830c,054b44877ebb4dfd89da9029,2024,2024-12-19,25.0,0.76,0.76,2° Grado,Grado,Lengua Española,Componente 7,101515,False
IQS,2de43e4d1fc7426abb3f5071,60a065451f254990ba464820,2026,2026-05-22,75.0,2.33,2.33,6° Grado,Grado,Ciencias Sociales,Componente 27,101248,False
IQS,54b74e2f55e448ec8aadfab8,563383f2599843af8dbb37e5,2025,2025-01-14,,2.52,2.52,1° Grado,Grado,Ciencias de la Naturaleza,Componente 9,103073,False
IQS,5686880c9f0b4f9c9b6311a1,fc9daf204ab94c74a3f7944f,2023,2023-01-03,50.0,1.08,1.08,3° Grado,Grado,Lengua Española,Componente 24,100885,False
IQS,7ab309f0352049d09f45f065,b0514fa13cdb4c3dbed1c321,2023,2023-09-04,25.0,1.14,1.14,2° Grado,Grado,Ciencias de la Naturaleza,Componente 28,103471,False
IQS,d1fd0b499c0d40219435bdc5,6f228061777f4db7bef0ecf1,2024,2024-10-01,,0.07,0.07,6° Grado,Grado,Ciencias Sociales,Componente 12,102956,False
IQS,4d4670858e4e4a6a854fc60e,60a065451f254990ba464820,2023,2023-10-03,,0.36,0.36,6° Grado,Grado,Matemáticas,Componente 20,101248,False
IQS,9a2ac33952334d8896aa4fe3,d269cc53ea4043b1ab3d1db2,2022,2022-11-30,25.0,0.32,0.32,6° Grado,Grado,Lengua Española,Componente 9,100831,False
IQS,34f50b5e979b44d6b0611bd4,0339c0d4ecd34ac4b75486b3,2023,2023-08-09,,0.82,0.82,6° Grado,Grado,Ciencias Sociales,Componente 9,102908,False
IQS,8b76752065854139aad5e288,5a4baf163c72464ba70bdfc3,2023,2023-09-23,,4.77,4.0,6° Grado,Grado,Ciencias Sociales,Componente 17,103363,False
IQS,41bfe6f7bb184f5ea90e45bf,4121c2b34e074f6fa2c39975,2023,2023-10-08,0.0,0.37,0.37,3° Grado,Grado,Lengua Española,Componente 41,101185,False
IQS,b3e59f164588436083a56252,9d317af30b7b4ee6acc4e00e,2024,2024-12-05,75.0,1.69,1.69,5° Grado,Grado,Ciencias Sociales,Componente 14,101819,False
IQS,b3f5d4e72266462789eba8c8,bf886d550c824a6b83bf6d11,2026,2026-06-03,25.0,0.29,0.29,6° Grado,Grado,Matemáticas,Componente 12,102526,False
IQS,069540e415d4431f9ea027a4,60a065451f254990ba464820,2023,2023-03-15,,2.73,2.73,6° Grado,Grado,Ciencias de la Naturaleza,Componente 45,101248,False
IQS,9ffaad64673241edb09313c3,000777e0998044f3b82a624a,2026,2026-03-01,50.0,5.06,4.0,3° Grado,Grado,Lengua Española,Componente 14,103142,False
IQS,1aa3f0906e954e96bb867c52,8499fa2a39964aa280aa0807,2023,2023-01-07,,0.06,0.06,6° Grado,Grado,Lengua Española,Componente 23,101383,False
IQS,f66c9e165ec74cae99acfcd0,fd8346b254fe4458b92a0501,2023,2023-09-08,25.0,1.06,1.06,3° Grado,Grado,Ciencias Sociales,Componente 17,104295,False
IQS,419ee7479a7a4a0ab3660a62,99454e87891b4d709850a4fe,2023,2023-01-25,50.0,0.36,0.36,5° Grado,Grado,Ciencias Sociales,Componente 13,103485,False
IQS,e30ad545e0584533832f868d,f5b78e3228124e6d99606af7,2026,2026-04-19,25.0,0.02,0.02,6° Grado,Grado,Matemáticas,Componente 19,104719,False
IQS,c9856f0816c948448375141f,a06e1a5f237a4bedad6b5ba5,2024,2024-11-12,25.0,0.85,0.85,2° Grado,Grado,Ciencias de la Naturaleza,Componente 21,101368,False
IQS,ab9f2218281f49078e6f3ec7,bf69016d39f540fd8a0736f9,2023,2023-04-30,,0.67,0.67,6° Grado,Grado,Matemáticas,Componente 58,103863,False
IQS,e69435fd2d8c4c1dbd3b43db,d586bf4afa71469ea1e10697,2023,2023-11-10,50.0,1.02,1.02,6° Grado,Grado,Matemáticas,Componente 9,104487,False
IQS,c35a5ea03b5d4f9e8702736b,14d3f039863b4c95bca86a9a,2023,2023-03-02,50.0,,,5° Grado,Grado,Ciencias Sociales,Componente 7,100924,False
IQS,ddd42668f6e04f8e96c62699,bbb88782c7d244988319f036,2024,2024-09-21,100.0,1.45,1.45,4° Grado,Grado,Ciencias de la Naturaleza,Componente 41,102784,False
IQS,ade966cd795b49c7af25c9f1,563383f2599843af8dbb37e5,2023,2023-06-08,50.0,0.19,0.19,6° Grado,Grado,Ciencias Sociales,Componente 23,103073,False
IQS,6a9c9c47fa4748d68aab0992,07e57099e5aa4a82bbd53e44,2026,2026-05-11,100.0,0.84,0.84,3° Grado,Grado,Ciencias Sociales,Componente 36,103153,False
IQS,1440789ec3ce488295ae3aba,5f684ea408f34c599543b6d3,2023,2023-06-16,25.0,0.05,0.05,2° Grado,Grado,Ciencias de la Naturaleza,Componente 40,103335,False
IQS,df8ea55774a6461d9d07fc48,62af377d2209497d93397f51,2024,2024-07-18,100.0,0.35,0.35,1° Grado,Grado,Lengua Española,Componente 56,102892,False
IQS,9bca56ec73cc43a686814132,054b44877ebb4dfd89da9029,2023,2023-10-04,0.0,0.08,0.08,3° Grado,Grado,Ciencias Sociales,Componente 4,101515,False
IQS,d4aaa2da6998468aa236c8ca,43a0470f4f0a40b09a0d3b2d,2025,2025-07-30,75.0,0.44,0.44,6° Grado,Grado,Lengua Española,Componente 47,102859,False
IQS,1b6687cb3171461d81f58e81,f1eecb6e79454598a57fa6ae,2023,2023-03-28,25.0,0.17,0.17,4° Grado,Grado,Ciencias Sociales,Componente 13,101672,False
IQS,e818de405f994076a834dce1,29fec145783948e49ea9a6ec,2023,2023-02-20,,0.01,0.01,6° Grado,Grado,Lengua Española,Componente 7,102777,False
IQS,530c709d86c34f168d051546,b0553cb957b841c0a75b60a7,2024,2024-02-25,,3.77,3.77,6° Grado,Grado,Ciencias Sociales,Componente 53,103936,False
IQS,f6ab842b754b47f0b5fbff10,e4cfdb3a24234354b75ba10f,2023,2023-06-20,,0.06,0.06,6° Grado,Grado,Ciencias de la Naturaleza,Componente 41,103980,False
IQS,2595b96756b3459187710560,7f0bb751143747498ca0de1b,2024,2024-10-28,50.0,1.43,1.43,6° Grado,Grado,Matemáticas,Componente 13,101436,False
IQS,adc8935300db46c89d451bf7,563383f2599843af8dbb37e5,2023,2023-10-22,75.0,0.25,0.25,6° Grado,Grado,Lengua Española,Componente 39,103073,False
IQS,bca82420563a496f91e05443,ec463c9da1a3453faf86fc81,2023,2023-01-06,75.0,0.18,0.18,6° Grado,Grado,Ciencias de la Naturaleza,Componente 56,103325,False
IQS,7959f4c7f7714b98be267e3c,c8f3d952d52c4377a74407c5,2023,2023-04-30,0.0,1.21,1.21,1° Grado,Grado,Ciencias Sociales,Componente 37,105002,False
IQS,1e0a876256c84de79de11ba3,b0514fa13cdb4c3dbed1c321,2023,2023-06-17,0.0,0.42,0.42,6° Grado,Grado,Lengua Española,Componente 59,103471,False
IQS,4628528efe5949e49384e0e3,c8f3d952d52c4377a74407c5,2023,2023-04-06,,0.52,0.52,6° Grado,Grado,Ciencias Sociales,Componente 18,105002,False
IQS,989de66659ec438bbe2f3751,563383f2599843af8dbb37e5,2023,2023-09-18,50.0,0.07,0.07,6° Grado,Grado,Ciencias de la Naturaleza,Componente 19,103073,False
IQS,4d5591083538429fb4fdb890,cb026111deb549e3acbff6eb,2023,2023-04-30,0.0,0.76,0.76,4° Grado,Grado,Ciencias de la Naturaleza,Componente 45,103737,False
IQS,7ede4b4fbf39440b8f8ddce1,9d317af30b7b4ee6acc4e00e,2024,2024-09-30,,0.08,0.08,5° Grado,Grado,Ciencias Sociales,Componente 51,101819,False
IQS,923d00d53656424c976e4a93,80cc1f161bc34cfab1b5e506,2023,2023-04-06,50.0,0.05,0.05,2° Grado,Grado,Ciencias Sociales,Componente 20,101554,False
IQS,c23593982320493bbb355e49,87a0a32693194bde9eb4118a,2025,2025-04-01,25.0,0.0,0.0,3° Grado,Grado,Matemáticas,Componente 41,101812,False
IQS,b40787e0a81f4196bad721ab,5d1d43267cea4ead8f24eede,2023,2023-01-16,75.0,2.29,2.29,6° Grado,Grado,Ciencias Sociales,Componente 55,101582,False
IQS,40dee132365a4cd6b0b98482,0441b916b8e74bbebf0e3b5e,2026,2026-04-20,,0.41,0.41,4° Grado,Grado,Ciencias Sociales,Componente 20,102815,False
IQS,206ee47556764aed84f138b3,e4cfdb3a24234354b75ba10f,2023,2023-10-01,,0.19,0.19,3° Grado,Grado,Lengua Española,Componente 20,103980,False
IQS,536b5a62a074423aba5f85d3,0441b916b8e74bbebf0e3b5e,2023,2023-05-29,,0.08,0.08,3° Grado,Grado,Ciencias de la Naturaleza,Componente 49,102815,False
IQS,42a7e73121b7441ebf40df2b,c8f3d952d52c4377a74407c5,2023,2023-02-01,50.0,0.57,0.57,6° Grado,Grado,Lengua Española,Componente 34,105002,False
IQS,fe4c0fcac70347e0857980d6,8499fa2a39964aa280aa0807,2023,2023-06-09,25.0,0.4,0.4,6° Grado,Grado,Matemáticas,Componente 49,101383,False
IQS,1e7e4ac199d440a3997dc9b6,054b44877ebb4dfd89da9029,2024,2024-05-20,100.0,0.24,0.24,2° Grado,Grado,Matemáticas,Componente 35,101515,False
IQS,3eaf301d985445d7bfdf4aed,b0514fa13cdb4c3dbed1c321,2024,2024-08-24,25.0,0.24,0.24,6° Grado,Grado,Ciencias de la Naturaleza,Componente 50,103471,False
IQS,7ac46207812a4f9ca94e9da8,555b1fc48a014b2188f5d34d,2024,2024-06-20,50.0,0.21,0.21,1° Grado,Grado,Ciencias de la Naturaleza,Componente 24,101325,False
IQS,b18f23624993428d8da43f31,76c53d3b8a744c00b63ac606,2025,2025-07-25,,1.53,1.53,2° Grado,Grado,Ciencias Sociales,Componente 18,103845,False
IQS,a5a3b629ac994bd3bdc794e9,9ea8a16d0f154dfcb23a2d1d,2023,2023-05-01,100.0,0.78,0.78,5° Grado,Grado,Lengua Española,Componente 51,104557,False
IQS,111370a0595a45f0aa209659,c8f3d952d52c4377a74407c5,2023,2023-08-26,,0.13,0.13,3° Grado,Grado,Matemáticas,Componente 15,105002,False
IQS,d9a839369db9463f951b3db5,94ea4abfe4444a469873471c,2023,2023-02-19,,2.71,2.71,4° Grado,Grado,Ciencias de la Naturaleza,Componente 1,101562,False
IQS,e42a1695ff844470abd610ae,99cbf085fbe440748eedfdd0,2023,2023-07-07,100.0,5.69,4.0,2° Grado,Grado,Ciencias de la Naturaleza,Componente 51,104102,False
IQS,54400fc2ff1c4e6cb6a1a543,fc9daf204ab94c74a3f7944f,2023,2023-05-18,,0.21,0.21,3° Grado,Grado,Ciencias de la Naturaleza,Componente 53,100885,False
IQS,fd919c2beed04cbeaea261ca,1c5eefcdf33e473cb7e0d013,2023,2023-06-13,,0.01,0.01,3° Grado,Grado,Matemáticas,Componente 24,100853,False
IQS,7bd3b9caeff44f1d843c2fae,80cc1f161bc34cfab1b5e506,2023,2023-10-03,25.0,0.86,0.86,6° Grado,Grado,Lengua Española,Componente 25,101554,False
IQS,73cfa4f93da94c6f9700958f,fea9e9f190a54701a7e6ec07,2022,2022-12-04,,0.46,0.46,3° Grado,Grado,Matemáticas,Componente 42,102176,False
IQS,13045a49ba2544e5ab41e08e,1da14ff6abde4de4bf31122b,2023,2023-05-28,100.0,0.1,0.1,2° Grado,Grado,Matemáticas,Componente 59,102483,False
IQS,997d26a06e824c00a0d92b04,79d63c7c065a48dbb36e14ac,2023,2023-06-03,100.0,4.22,4.0,3° Grado,Grado,Matemáticas,Componente 43,101309,False
IQS,3ae4da5ba438420b9db714f2,1da14ff6abde4de4bf31122b,2023,2023-03-03,,2.54,2.54,2° Grado,Grado,Matemáticas,Componente 39,102483,False
IQS,141dc74ee33a40babc4efe42,442c9196c80b498fa52c808b,2023,2023-07-18,50.0,1.07,1.07,6° Grado,Grado,Matemáticas,Componente 42,104726,False
IQS,8664400c164743338a6d2e8c,76c53d3b8a744c00b63ac606,2023,2023-05-29,,1.62,1.62,6° Grado,Grado,Matemáticas,Componente 55,103845,False
IQS,736c27dbd0f44b1fb9c9934b,a1ef853e3d6a45b4a1a54d7a,2024,2024-12-09,,0.07,0.07,4° Grado,Grado,Matemáticas,Componente 12,103534,False
IQS,09291d432178492892b3bf9f,b8dd33bc101c4fedbbe7b7bf,2025,2025-07-25,,,,3° Grado,Grado,Ciencias Sociales,Componente 5,101732,False
IQS,3f25709806f14f3eb2798068,edbfff2f23414b01a8609b91,2023,2023-04-01,,0.31,0.31,1° Grado,Grado,Lengua Española,Componente 13,103754,False
IQS,cd693e838931448badfe072b,5f684ea408f34c599543b6d3,2025,2025-11-20,0.0,0.15,0.15,6° Grado,Grado,Matemáticas,Componente 20,103335,False
IQS,2041bffb313046d2ab2397bb,fea9e9f190a54701a7e6ec07,2023,2023-06-07,,0.48,0.48,3° Grado,Grado,Matemáticas,Componente 58,102176,False
IQS,4656fcb4c7764d57b4675cae,80cc1f161bc34cfab1b5e506,2023,2023-07-18,75.0,0.54,0.54,2° Grado,Grado,Matemáticas,Componente 43,101554,False
IQS,1a154f793de04c3d95b0c075,90aa0c4bb4cc4625a1ddc3f0,2026,2026-08-09,,0.09,0.09,4° Grado,Grado,Matemáticas,Componente 19,105151,False
IQS,7d9ac6ea9dab4fe7a8d2bb0d,2df3d1f26eaf45c08087d80f,2025,2025-07-01,,0.28,0.28,6° Grado,Grado,Matemáticas,Componente 48,103168,False
IQS,7a06f376e488432d8679a5a4,90aa0c4bb4cc4625a1ddc3f0,2023,2023-09-28,,0.2,0.2,6° Grado,Grado,Matemáticas,Componente 30,105151,False
IQS,ef1c47a975c74584b2685310,5f16a526cb7a409592663f3f,2024,2024-02-02,50.0,0.38,0.38,6° Grado,Grado,Matemáticas,Componente 45,103843,False
IQS,eb3379ecf7de4f9d9fe7d1d0,6f228061777f4db7bef0ecf1,2023,2023-09-08,50.0,0.19,0.19,6° Grado,Grado,Lengua Española,Componente 24,102956,False
IQS,976ab8336a3546bfbbd2fd8b,fed71366c4e643349d154d29,2023,2023-10-21,100.0,0.27,0.27,3° Grado,Grado,Ciencias de la Naturaleza,Componente 34,105152,False
IQS,8daa163fb5374e59aa3ca427,07e57099e5aa4a82bbd53e44,2023,2023-04-25,100.0,0.13,0.13,5° Grado,Grado,Ciencias de la Naturaleza,Componente 17,103153,False
IQS,b82fdbc479d44e5f891c6e64,3363de028c484016b6059407,2023,2023-08-12,0.0,0.88,0.88,6° Grado,Grado,Ciencias Sociales,Componente 45,102427,False
IQS,fbabaa289e644260844d5f2e,1c5eefcdf33e473cb7e0d013,2025,2025-07-21,,0.05,0.05,6° Grado,Grado,Ciencias de la Naturaleza,Componente 40,100853,False
IQS,944e1c850b774966bf600993,568e3ad5422f4b5a8fc1b7ce,2023,2023-04-14,,2.02,2.02,2° Grado,Grado,Lengua Española,Componente 51,103236,False
IQS,eba9f3f54a494669bf99c455,000777e0998044f3b82a624a,2023,2023-03-30,75.0,0.0,0.0,2° Grado,Grado,Ciencias de la Naturaleza,Componente 38,103142,False
IQS,b23b9a0440174b769af7b1fe,af784f89454c4cea98ff0c3b,2025,2025-02-28,25.0,0.44,0.44,3° Grado,Grado,Ciencias de la Naturaleza,Componente 8,103967,False
IQS,0650bcc00670483c82dc447a,5f16a526cb7a409592663f3f,2023,2023-03-12,25.0,0.54,0.54,6° Grado,Grado,Ciencias de la Naturaleza,Componente 13,103843,False
IQS,653a74da1a3b43bb8a7d7a19,ec463c9da1a3453faf86fc81,2023,2023-02-10,,0.99,0.99,6° Grado,Grado,Lengua Española,Componente 29,103325,False
IQS,5c4c79f385314f1ea8c7b36a,43a0470f4f0a40b09a0d3b2d,2023,2023-10-18,25.0,0.0,0.0,2° Grado,Grado,Ciencias Sociales,Componente 57,102859,False
IQS,46db76cc028f496fa73d2951,568e3ad5422f4b5a8fc1b7ce,2022,2022-10-27,,0.43,0.43,3° Grado,Grado,Matemáticas,Componente 56,103236,False
IQS,dd51f13134f8488fbee4cd43,d9e60eb68f914f6187d3f41b,2023,2023-09-29,100.0,0.57,0.57,2° Grado,Grado,Matemáticas,Componente 49,101364,False
IQS,14cc7bb6a1a64c4996cf2265,117d3d8f62ca4f1f9d863592,2023,2023-02-21,50.0,0.11,0.11,4° Grado,Grado,Ciencias de la Naturaleza,Componente 12,101536,False
IQS,fd33b55ea4df47bda4b98e11,34f6675423db4e2d8cc6cf61,2023,2023-02-17,100.0,0.1,0.1,6° Grado,Grado,Ciencias Sociales,Componente 35,103311,False
